ORGANIZATION_NAME,LOCATION_NAME,ADDRESS_1,ADDRESS_2,PHONE,EXT,CASE_MANAGEMENT,CRISIS_INTERVENTION,LEGAL_SERVICES,SAFETY_PLANNING,IMMIGRATION_SERVICES,EMERGENCY_OR_TRANSITIONAL_SHELTER,PERMANENT_HOUSING,HEALTH_CARE,MENTAL_HEALTH_COUNSELING,DRUG_ADDICTION_SCREENING_AND_TREATMENT,LANGUAGE_INTERPRETATION,PUBLIC_BENEFITS,JOB_TRAINING_AND_ECONOMIC_EMPOWERMENT,RESTORATIVE_JUSTICE,OTHER_SERVICE,INTIMATE_PARTNER_VIOLENCE,FAMILY_VIOLENCE,SEXUAL_ASSAULT,VIOLENT_CRIME,PROPERTY/FINANCIAL_CRIMES,AGE_0-5,AGE_5-24,AGE_25-60,AGE_60+,ELIGIBILITY_CRITERIA,MAIN_HOURS_OF_OPERATION,WEEKEND_HOURS_OF_OPERATION,SPANISH,ARABIC,BENGALI,CHINESE,FRENCH,HAITIAN-CREOLE,ITALIAN,KOREAN,POLISH,RUSSIAN,URDU,YIDDISH,OTHER_LANGUAGE,WHEELCHAIR_ACCESS,REFERRAL_REQUIRED,CULTURAL_COMPETENCIES_SPECIALIZATIONS,BOROUGH,X,Y,WEBSITE
HeartShare St. Vincent's Services,Outpatient Mental Health Clinic ,"89-31 161st Street, 4th Floor","Jamaica, NY 11432",718-206-0218,,,1,,1,1,,,,1,1,,,,,,1,1,1,1,1,1,1,1,1,,Monday - Friday: 9 am - 9 pm,Saturday-Sunday: 10 am - 3 pm,1,,,,,,,,,,,,,1,,,Queens,1039930,196411,https://hsvsnyc.org/
HeartShare St. Vincent's Services,Special Medical Preventive Services,"89-31 161st Street, 4th Floor","Jamaica, NY 11432",718-206-0825,,1,1,,1,,,,1,1,,,1,,,,1,1,,,,1,1,1,1,,Monday - Friday: 9 am - 5 pm,,1,,,,,,,,,,,,,1,,,Queens,1039930,196411,https://hsvsnyc.org/
HeartShare St. Vincent's Services,General Preventive Services,"8718 Bay Parkway, 7th Floor","Brooklyn, NY 11214",718-234-1717,,1,1,,1,,,,,1,,,1,,,,1,1,,,,1,1,1,1,,Monday - Friday: 9 am - 5 pm,,1,,,,,,,,,1,,,,1,,,Brooklyn,985203,157765,https://hsvsnyc.org/
HeartShare St. Vincent's Services,General Preventive Services,2950 W. 25th Street,"Brooklyn, NY 11224",718-372-0580,,1,1,,1,,,,,1,,,1,,,,1,1,,,,1,1,1,1,,Monday - Friday: 9 am - 5 pm,,1,,,,,,,,,,,,,1,,,Brooklyn,986362,148408,https://hsvsnyc.org/
HeartShare St. Vincent's Services,General Preventive Services,1353 Utica Avenue ,"Brooklyn, NY 11203",347-770-8155,,1,1,,1,,,,,1,,,1,,,,1,1,,,,1,1,1,1,,Monday - Friday: 9 am - 5 pm,,1,,,,,1,,,,,,,,1,,,Brooklyn,1004081,172284,https://hsvsnyc.org/
HELP USA - HELP ROADS,East New York (Brooklyn),515 Blake Avenue ,"Brooklyn, NY 11207",718-922-7980,,1,1,,1,1,,,,1,,1,,1,,,1,1,1,1,1,1,1,1,1,,Monday - Friday: 9 am - 5 pm,,1,,,,1,,,,,,,,,1,,,Brooklyn,1011950,182618,http://www.HELPUSA.org
"Jamaica Service Program for Older Adults, INC",Safety Department,92-47 165th Street,"Jamaica, NY 11433",718-657-6500,,1,,,1,1,1,,,1,,1,1,1,1,"Respite, Neighborhood Naturally Occurring Retirement Community Supportive (NNORC) Services, Domestic Violence Services, Social Adult Day Care, Entitlements and Benefits, Transportation",1,1,1,1,1,,,1,1,,Monday - Friday: 9 am - 5 pm,,1,,,,,1,,,,,,,,1,,Our organization specializes in serving all victims of elder abuse,Queens,1041336,195996,www.jspoa.org
Jewish Association Serving the Aging (JASA),,127 W 37th Street,"New York, NY 10018",212-273-5200,,1,1,1,1,,,1,,1,,1,1,, ,,1,,1,1,1,,,1,1,Serves older adults and victims of intimate partner violence ,Monday - Friday: 9 am - 5 pm,,,,,,,,,,,,,,,1,,Older adults and seniors,Manhattan,987603,213456,http://www.jasa.org/
Her Justice,Administrative Office,100 Broadway ,"New York, NY 10005",212-695-3800,,,,1,1,1,,,,,,,,,,,1,1,1,1,1,,1,1,1,"Survivors of intimate partner violence who identify as women, reside in NYC, and have a household income that falls within 200% of the federal poverty guidelines. Cases should fall into the following practice areas: matrimonial support, child support, spousal support, orders of protection (family court), custody and visitation cases, U Non-Immigrant Status and VAWA Self Petitions, and Battered Spouse Waivers",Monday - Friday: 9:30 am - 5:30 pm,,1,1,,,1,,1,1,,1,,,,1,,"Domestic violence survivors, LGBTQ and low-income communities ",Manhattan,981167,197208,http://www.herjustice.org/
Her Justice,Manhattan Family Justice Center,80 Centre Street,"New York, NY 10013",212-602-2800,,1,1,1,1,1,1,,1,1,1,1,1,1,,,1,1,1,1,1,,1,1,1,"Survivors of intimate partner violence who identify as women, reside in NYC, and have a household income that falls within 200% of the federal poverty guidelines. Cases should fall into the following practice areas: matrimonial support, child support, spousal support, orders of protection (family court), custody and visitation cases, U Non-Immigrant Status and VAWA Self Petitions, and Battered Spouse Waivers","<ul style=""list-style-type:none""><li>Immigration consultations every 1st and 3rd Thursdays of the month: As needed </li><li>Civil legal screening every 1st and 3rd Mondays of the month: 9 am - 5 pm</li></ul>",,,1,1,1,1,1,1,,1,1,1,,The Family Justice Centers Have Access to Language Line and Therefore can Provide Services in Over 240 Languages,1,,"Domestic violence survivors, LGBTQ and low-income communities ",Manhattan,983763,199873,http://www1.nyc.gov/site/ocdv/programs/family-justice-centers.page
Her Justice,Brooklyn Family Justice Center ,350 Jay Street,"Brooklyn, NY 11201",718-250-5111,,1,1,1,1,1,1,,1,1,1,1,1,1,,,1,1,1,1,1,,1,1,1,"Survivors of intimate partner violence who identify as women, reside in NYC, and have a household income that falls within 200% of the federal poverty guidelines. Cases should fall into the following practice areas: matrimonial support, child support, spousal support, orders of protection (family court), custody and visitation cases, U Non-Immigrant Status and VAWA Self Petitions, and Battered Spouse Waivers","<ul style=""list-style-type:none""><li>Immigration consultations every 1st and 3rd Monday of the month: 9 am - 5 pm </li><li>Civil legal screening every 2nd Tuesday of the month: 9 am - 5 pm</li></ul>",,,1,1,1,1,1,1,,1,1,1,,The Family Justice Centers Have Access to Language Line and Therefore can Provide Services in Over 240 Languages,1,,"Domestic violence survivors, LGBTQ and low-income communities ",Brooklyn,987687,192183,http://www1.nyc.gov/site/ocdv/programs/family-justice-centers.page
Her Justice,Bronx Family Justice Center  ,198 E 161st Street,"Bronx, NY 10451",718-508-1220,,1,1,1,1,1,1,,1,1,1,1,1,1,,,1,1,1,1,1,,1,1,1,"Survivors of intimate partner violence who identify as women, reside in NYC, and have a household income that falls within 200% of the federal poverty guidelines. Cases should fall into the following practice areas: matrimonial support, child support, spousal support, orders of protection (family court), custody and visitation cases, U Non-Immigrant Status and VAWA Self Petitions, and Battered Spouse Waivers","<ul style=""list-style-type:none""><li>Immigration consultations every 1st and 3rd Tuesdays of the month: 9 am - 5 pm </li><li>Civil legal screening every 2nd Tuesday of the month: 9 am - 5 pm</li></ul>",,,1,1,1,1,1,1,,1,1,1,,The Family Justice Centers Have Access to Language Line and Therefore can Provide Services in Over 240 Languages,1,,"Domestic violence survivors, LGBTQ and low-income communities ",Bronx,1006186,240244,http://www1.nyc.gov/site/ocdv/programs/family-justice-centers.page
Her Justice,Queens Family Justice Center  ,126-02 82nd Avenue,"Kew Gardens, NY 11415",718-575-4545,,1,1,1,1,1,1,,1,1,1,1,1,1,,,1,1,1,1,1,,1,1,1,"Survivors of intimate partner violence who identify as women, reside in NYC, and have a household income that falls within 200% of the federal poverty guidelines. Cases should fall into the following practice areas: matrimonial support, child support, spousal support, orders of protection (family court), custody and visitation cases, U Non-Immigrant Status and VAWA Self Petitions, and Battered Spouse Waivers","<ul style=""list-style-type:none""><li>Immigration consultations every 1st and 3rd Tuesdays of the month: 9 am - 5 pm</li><li>Civil legal screening every 2nd and 4th Tuesdays of the month: 9 am - 5 pm</li></ul>",,,1,1,1,1,1,1,,1,1,1,,The Family Justice Centers Have Access to Language Line and Therefore can Provide Services in Over 240 Languages,1,,"Domestic violence survivors, LGBTQ and low-income communities ",Queens,1032459,199212,http://www1.nyc.gov/site/ocdv/programs/family-justice-centers.page
Her Justice,Staten Island Family Justice Center  ,126 Stuyvesant Place,"Staten Island, NY 10301",718-697-4300,,1,1,1,1,1,1,,1,1,1,1,1,1,,,1,1,1,1,1,,1,1,1,"Survivors of intimate partner violence who identify as women, reside in NYC, and have a household income that falls within 200% of the federal poverty guidelines. Cases should fall into the following practice areas: matrimonial support, child support, spousal support, orders of protection (family court), custody and visitation cases, U Non-Immigrant Status and VAWA Self Petitions, and Battered Spouse Waivers","<ul style=""list-style-type:none""><li>Immigration consultations every 2nd and 4th Mondays of the month: 9 am - 5 pm</li></ul>",,,1,1,1,1,1,1,,1,1,1,,The Family Justice Centers Have Access to Language Line and Therefore can Provide Services in Over 240 Languages,1,,"Domestic violence survivors, LGBTQ and low-income communities ",Staten Island,962818,173610,http://www1.nyc.gov/site/ocdv/programs/family-justice-centers.page
Kingsbridge Heights Community Center-Changing Futures Program,Stern House,3101 Kingsbridge Terrace ,"Bronx, NY 10463",718-884-0700,,,1,,1,,,,,1,,1,,,,Animal Assisted Therapy,1,1,1,1,,1,1,,,Call to confirm eligibility ,Monday - Friday: 9 am - 7 pm ,Saturday: 9 am - 5 pm,1,,,,,,,,,,,,,1,,,Bronx,1011710,259018,http://www.khcc-nyc.org/
Leake & Watts,IS 217 School of the Performing Arts,977 Fox Street,"Bronx, NY 10459",718-589-4844 ,1155,1,1,,1,,,,,1,,,,,,,1,1,1,1,,1,1,,,"Serves the community at IS 217, IS 384, South Bronx Classical Charter School, or NYC Autism Charter School",Monday - Friday: 9 am - 5 pm,,1,,,,,,,,,,,,,1,,,Bronx,1013479,238763,http://www.leakeandwatts.org/
Leake & Watts,JHS 123 - The Bronx Urban Community School,1025 Morrison Avenue ,"New York, NY 10472",718-328-2105 ,1181,1,1,,1,,,,,1,,,,,,,1,1,1,1,,1,1,,,Serves the community at JHS 123 - The Bronx Urban Community School,Monday - Friday: 8 am - 4 pm,,1,,,,,,,,,,,,,,,,Bronx,1019157,239951,http://www.leakeandwatts.org/
The Legal Aid Society,Civil - Bronx Neighborhood Office,260 E 161st Street,"Bronx, New York 10451",718-991-4600,,,,1,,1,,,,,,1,,,,The Legal Aid Society also provides advocacy <br>and assistance for individuals experiencing <br>public benefits issues.,,,,,,1,1,1,1,The Legal Aid Society only provides services <br>to individuals living within all five New York City boroughs.,Monday - Friday: 9 am - 5 pm,,1,1,1,,1,1,1,,1,1,1,,The Legal Aid Society Has Access to Language <br> Line and Therefore can Provide Services<br>  in Over 240 Languages,1,,"The Legal Aid Society specializes in serving <br> New Yorkers who are low-income, immigrants,<br> people of color, women, children and youth, <br>and the elderly, survivors of abuse, victims of crime,<br>LGBTQ+, and those with HIV/AIDS and <br>other chronic diseases.",Bronx,1006630,240054,http://www.legal-aid.org/en/home.aspx
The Legal Aid Society,Civil - Brooklyn Neighborhood Office,"111 Livingston Street, 7th Floor","Brooklyn, NY 11201",718-722-3100,,,,1,,1,,,,,,1,,,,The Legal Aid Society also provides advocacy <br>and assistance for individuals experiencing <br>public benefits issues.,,,,,,1,1,1,1,The Legal Aid Society only provides services <br>to individuals living within all five New York City boroughs.,Monday - Friday: 9 am - 5 pm,,1,,,1,,1,,1,,,,,The Legal Aid Society Has Access to Language <br> Line and Therefore can Provide Services<br>  in Over 240 Languages,1,,"The Legal Aid Society specializes in serving <br> New Yorkers who are low-income, immigrants,<br> people of color, women, children and youth, <br>and the elderly, survivors of abuse, victims of crime,<br>LGBTQ+, and those with HIV/AIDS and <br>other chronic diseases.",Brooklyn,987077,191200,http://www.legal-aid.org/en/home.aspx
The Legal Aid Society,Civil - Harlem Community Law Office,"Theresa Towers, 2090 Adam Clayton Powell Jr Blvd.","New York, NY 10027",212-426-3000,,,,1,,1,,,,,,1,,,,The Legal Aid Society also provides advocacy <br>and assistance for individuals experiencing <br>public benefits issues.,,,,,,1,1,1,1,The Legal Aid Society only provides services <br>to individuals living within all five New York City boroughs.,Monday - Friday: 9 am - 5 pm,,1,,,1,,,,,,,,,The Legal Aid Society Has Access to Language <br> Line and Therefore can Provide Services<br>  in Over 240 Languages,1,,"The Legal Aid Society specializes in serving <br> New Yorkers who are low-income, immigrants,<br> people of color, women, children and youth, <br>and the elderly, survivors of abuse, victims of crime,<br>LGBTQ+, and those with HIV/AIDS and <br>other chronic diseases.",Manhattan,998388,233929,http://www.legal-aid.org/en/home.aspx
The Legal Aid Society,Civil - Queens Neighborhood Office,120-46 Queens Boulevard ,"Kew Gardens, NY 11415",718-286-2450,,,,1,,1,,,,,,1,,,,The Legal Aid Society also provides advocacy <br>and assistance for individuals experiencing <br>public benefits issues.,,,,,,1,1,1,1,The Legal Aid Society only provides services <br>to individuals living within all five New York City boroughs.,Monday - Friday: 9 am - 5 pm,,1,,,1,1,,,1,,,,,The Legal Aid Society Has Access to Language <br> Line and Therefore can Provide Services<br>  in Over 240 Languages,1,,"The Legal Aid Society specializes in serving <br> New Yorkers who are low-income, immigrants,<br> people of color, women, children and youth, <br>and the elderly, survivors of abuse, victims of crime,<br>LGBTQ+, and those with HIV/AIDS and <br>other chronic diseases.",Queens,1031706,199089,http://www.legal-aid.org/en/home.aspx
The Legal Aid Society,Civil - Staten Island Neighborhood Office,"60 Bay Street, 3rd Floor","Staten Island, NY 10301",347-422-5333,,,,1,,1,,,,,,1,,,,The Legal Aid Society also provides advocacy <br>and assistance for individuals experiencing <br>public benefits issues.,,,,,,1,1,1,1,The Legal Aid Society only provides services <br>to individuals living within all five New York City boroughs.,Monday - Friday: 9 am - 5 pm,,1,,,,,,,,,,1,,The Legal Aid Society Has Access to Language <br> Line and Therefore can Provide Services<br>  in Over 240 Languages,1,,"The Legal Aid Society specializes in serving <br> New Yorkers who are low-income, immigrants,<br> people of color, women, children and youth, <br>and the elderly, survivors of abuse, victims of crime,<br>LGBTQ+, and those with HIV/AIDS and <br>other chronic diseases.",Staten Island,963092,172632,http://www.legal-aid.org/en/home.aspx
The Legal Aid Society,The Legal Aid Society Headquarters,199 Water Street ,"New York, NY 10038",212-577-3300,,,,1,,1,,,,,,1,,,,The Legal Aid Society also provides advocacy <br>and assistance for individuals experiencing <br>public benefits issues.,,,,,,1,1,1,1,The Legal Aid Society only provides services <br>to individuals living within all five New York City boroughs.,Monday - Friday: 9 am - 5 pm,,1,,,,1,1,,,,,,,The Legal Aid Society Has Access to Language <br> Line and Therefore can Provide Services<br>  in Over 240 Languages,1,,"The Legal Aid Society specializes in serving <br> New Yorkers who are low-income, immigrants,<br> people of color, women, children and youth, <br>and the elderly, survivors of abuse, victims of crime,<br>LGBTQ+, and those with HIV/AIDS and <br>other chronic diseases.",Manhattan,983038,196805,http://www.legal-aid.org/en/home.aspx
Legal Information for Families Today (LIFT),LIFT Central Office,"32 Court Street, Suite 1208 ","Brooklyn, NY 11201",646-613-9633,,,,,,,,,,,,,,,,,1,1,,,,1,1,1,1,,Monday - Friday: 9 am - 5 pm,,1,,1,,,,,,,,,,,1,,,Brooklyn,986716,191749,http://www.liftonline.org/
Legal Information for Families Today (LIFT),Brooklyn Family Court,"330 Jay Street, 5th Floor","Brooklyn, NY 11201",646-613-9633,,,,1,,,,,,,,,,,,,1,1,,,,1,1,1,1,,Monday - Friday: 9 am - 5 pm,,,,,,,,,,,,,,,1,,,Brooklyn,987662,192339,http://www.liftonline.org/
Legal Information for Families Today (LIFT),Manhattan Family Court,60 Lafayette Street,"New York, NY 10013",646-613-9633,,,,1,,,,,,,,,,,,,1,1,,,,1,1,1,1,,Monday - Friday: 9 am - 5 pm,,1,,,,,,,,,,,,,1,,,Manhattan,983491,200373,http://www.liftonline.org/
Legal Information for Families Today (LIFT),Bronx Family Court,"900 Sheridan Avenue, 7th Floor","Bronx, NY 10451",646-613-9633,,,,1,,,,,,,,,,,,,1,1,,,,1,1,1,1,,Monday - Friday: 9 am - 5 pm,,1,,,,,,,,,,,,,1,,,Bronx,1006308,240467,http://www.liftonline.org/
Legal Information for Families Today (LIFT),Queens Family Court,151-20 Jamaica Avenue,"Jamaica, NY 11432",646-613-9633,,,,1,,,,,,,,,,,,,1,1,,,,1,1,1,1,,Monday - Friday: 9 am - 5 pm,,1,,,,,,,,,,,,,1,,,Queens,1038933,195163,http://www.liftonline.org/
Legal Information for Families Today (LIFT),Staten Island Family Court,"25 Hyatt Street, 4th Floor","Staten Island, NY 10301",646-613-9633,,,,1,,,,,,,,,,,,,1,1,,,,1,1,1,1,,Monday - Friday: 9 am - 5 pm,,1,,,,,,,,,,,,,1,,,Staten Island,962787,173199,http://www.liftonline.org/
Legal Services NYC,Bronx Legal Services,"349 E 149th Street, 10th Floor","Bronx, NY 10451",917-661-4500,,,,1,1,1,,,,,,1,,,,New York State Office of Victim Services claim application assistance,1,1,1,1,1,1,1,1,1,"Low-income Bronx residents or people who have relocated from the Bronx for safety reasons, call to confirm eligibility","        
<ul style=""list-style-type:none"">
  <li>Monday - Friday: 9 am to 5 pm</li>
  <li>  Hotline Hours: Monday - Friday: 10am - 4pm </li>
</ul>",,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,Bronx,1006473,236891,http://www.legalservicesnyc.org/our-program/bronx
Legal Services NYC,Bronx Family Justice Center (Bronx Legal Services),198 E 161st Street,"Bronx, NY 10451",718-508-1222,,,,1,,,,,,,,1,,,,,1,1,1,1,1,1,1,1,1,"Serves survivors of intimate partner violence, elder abuse and/or sex trafficking",Wednesday: 9 am - 5 pm,,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,Bronx,1006186,240244,http://www1.nyc.gov/site/ocdv/programs/family-justice-centers.page
Legal Services NYC,Brooklyn Legal Services,"105 Court Street, 3rd Floor","Brooklyn, NY 11201",718-237-5500,,1,1,1,1,1,,,,,,1,1,,,,1,1,1,,,1,1,1,1,Call to confirm eligibility,Monday - Friday: 9 am - 5 pm,,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,Brooklyn,986594,190930,http://www.legalservicesnyc.org/our-program/brooklyn
Legal Services NYC,Manhattan Legal Services," 1 West 125th Street, 2nd Floor","New York, NY 10027",646-442-3100,,1,1,1,1,1,,,,,,1,1,,,,1,1,1,,,1,1,1,1,Call to confirm eligibility,Monday - Friday: 9 am - 5 pm,,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,Manhattan,1000190,233217,http://www.legalservicesnyc.org/our-program/manhattan
Legal Services NYC,Queens Legal Services," 89-00 Sutphin Boulevard, 5th Floor","Jamaica, NY 11435",347-592-2200,,1,1,1,1,1,,,,,,1,1,,,New York State Office of Victim Services claim application assistance,1,1,1,1,1,1,1,1,1,"Serves victims of intimate partner violence, elder abuse and/or sex trafficking",Monday - Friday: 9 am - 5 pm,24 Hour Domestic Violence Hotline: 347-592-2179,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,Queens,1037224,195626,http://www.legalservicesnyc.org/our-program/queens
Legal Services NYC,Staten Island Legal Services,"36 Richmond Terrace, Suite 205 ","Staten Island, NY 10301",718-233-6480,,1,1,1,1,1,,,,,,1,1,,,New York State Office of Victim Services claim application assistance,1,1,1,1,1,1,1,1,1,Serves survivors of intimate partner violence,Monday - Friday: 9 am - 5 pm,,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,Staten Island,962996,173754,http://www.legalservicesnyc.org/our-program/staten-island
"LSA Family Health Service, Inc.",,333 E 115th Street,"New York, NY 10029",646-672-5200,,,,,,1,,,,1,,,1,,,,,,,,1,1,1,1,1,"Serves Manhattan residents, call to confirm eligibility",Monday - Friday: 9 am - 5 pm,,1,,,,,,,,,,,,,1,,"Immigrant communities, Spanish-speaking communities",Manhattan,1001795,229246,http://littlesistersfamily.org
Lutheran Social Services of New York,"New LIFE Center-Midtown, Immigration Legal Program ","308 W 46th Street, 3rd Floor","New York , NY 10036",212-265-1826,,,,,,1,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,Monday - Friday: 10 am - 6 pm,,1,,,,,,,,,,,,,1,,Spanish and French-speaking communities,Manhattan,987377,216118,http://lssny.org/
Met Council,Bronx Family Justice Center,198 E 161st Street ,"Bronx, NY 10451",718-508-1274,,1,1,,1,,,,,,,1,1,1,,Financial Assistance,1,,1,,,1,1,1,1,"Serves survivors of intimate partner violence, elder abuse and/or sex trafficking","<ul style=""list-style-type:none"">
  <li>Monday - Thursday: 9 am - 5 pm</li>
  <li>Friday: 9 am - 2 pm</li>
</ul>",,1,,,,1,,1,,,,,,Hebrew,1,,"Intimate partner violence and sex trafficking survivors, Jewish communities",Bronx,1006186,240244,http://www.metcouncil.org/site/PageServer
Met Council,Brooklyn Family Justice center,350 Jay Street ,"Brooklyn, NY 11201",718-850-5036,,1,1,,1,,,,,1,,1,1,1,,Financial assistance,1,,1,,,1,1,1,1,"Serves survivors of intimate partner violence, elder abuse and/or sex trafficking","<ul style=""list-style-type:none"">
  <li>Monday - Thursday: 9 am - 5 pm</li>
  <li>Friday: 9 am - 2 pm</li>
</ul>",,,,,,,,,,,1,,,,1,,"Intimate partner violence and sex trafficking survivors, Jewish communities",Brooklyn,987687,192183,http://www.metcouncil.org/site/PageServer
Met Council,Queens Family Justice Center  ,126-02 82nd Avenue,"Kew Gardens, NY 11415",718-575-4539,,1,1,,1,,,,,1,,1,1,1,,Financial Assistance,1,,1,,,1,1,1,1,"Serves survivors of intimate partner violence, elder abuse and/or sex trafficking","<ul style=""list-style-type:none"">
  <li>Monday - Thursday: 9 am - 5 pm</li>
  <li>Friday: 9 am - 2 pm</li>
</ul>",,,,,,,,,,,,,,,1,,"Intimate partner violence and sex trafficking survivors, Jewish communities",Queens,1032459,199212,http://www.metcouncil.org/site/PageServer
Met Council,Manhattan Family Justice center,80 Centre Street ,"New York, NY 10013",212-602-2821,,1,1,,1,,,,,1,,1,1,1,,Financial Assistance,1,,1,,,1,1,1,1,"Serves survivors of intimate partner violence, elder abuse and/or sex trafficking","<ul style=""list-style-type:none"">
  <li>Monday - Thursday: 9 am - 5 pm</li>
  <li>Friday: 9 am - 2 pm</li>
</ul>",,,,,,,,,,,,,,,1,,"Intimate partner violence and sex trafficking survivors, Jewish communities",Manhattan,983763,199873,http://www.metcouncil.org/site/PageServer
Met Council,Home office ,"77 Water Street, 7th floor","New York, NY 10005",212-453-9592,,1,1,,1,,,,,1,,1,1,1,,Financial Assistance,1,1,1,,,1,1,1,1,"Serves survivors of intimate partner violence, elder abuse and/or sex trafficking","<ul style=""list-style-type:none"">
  <li>Monday - Thursday: 9 am - 5 pm</li>
  <li>Friday: 9 am - 2 pm</li>
</ul>",,1,,,,1,,,,,1,,,Hebrew ,1,,"Intimate partner violence and sex trafficking survivors, Jewish communities",Manhattan,981977,195844,http://www.metcouncil.org/site/PageServer
Montefiore Behavioral Health Center at Westchester Square,,2527 Glebe Avenue  ,"Bronx, NY 10461",718-904-4434,,,,,1,,,,,1,,,,,,"Mental Health Counseling, Medication Management, Primary Care 
",1,1,1,1,1,1,1,1,1,Call to confirm eligibility,Monday - Friday: 8:30 am - 6:30 pm,,1,,1,,,,,,,,,,,1,,,Bronx,1026680,245752,http://www.montefiore.org/mbhc
Mount Sinai Adolescent Health Center,Mount Sinai Adolescent Health Center,320 E 94th Street ,"New York, NY 10128",212-423-2900,,1,1,1,1,1,,,1,1,,1,,,,,1,,,,,,1,,,,Monday - Friday: 9 am - 5 pm,Saturdays: 9 am - 4 pm,1,,,,,,,,,,,,,1,,,Manhattan,998874,224307,http://www.mountsinai.org/patient-care/service-areas/adolescent-health-center
Neighborhood SHOPP,,"953 Southern Boulevard, Suite 203","Bronx, NY 10459",718-542-0006,,,1,1,1,,,,,,,1,1,,,,1,1,1,1,1,,,,1,Serves victims who are 60 years of age or older,Monday - Friday: 9 am - 5 pm,,1,,,,1,,,,,,,,,1,,,Bronx,1014115,238615,http://www.nshopp.org/
New Destiny Housing Corporation,Administrative Office,"12 W 37th Street, 7th Floor","New York, NY 10018",646-472-0262,,,,,,,,1,,,,,,,,,1,,1,1,1,1,1,1,1,Serves victims who are current domestic violence shelter residents,Monday - Friday: 9 am - 5 pm,,1,,,,,,,,,,,,,1,,,Manhattan,988613,212723,http://www.newdestinyhousing.org/
New York City Alliance Against Sexual Assault,,"32 Broadway, Suite 1101","New York, NY 10004",212-229-0345,,1,1,1,1,,,,,1,,,,,,"helpline:  212.514.SAFE (7233)<br>
E-mail questions to: survivorsupport@svfreenyc.org",,,1,,,,1,1,1,"Victims of Sexual Assault

",Monday - Friday: 9 am - 5 pm,,1,,,,,,,,,,,,,1,,,Manhattan,980716,196417,http://svfreenyc.org/
New York City Anti-Violence Project,Main Office ,"116 Nassau Street, 3rd Floor","New York, NY 10038",212-714-1141,,1,1,1,1,1,,,,,,1,,1,,,1,1,1,1,1,1,1,1,1,,<ul><li>Main office hours:<br>Monday - Friday: 10 am - 6 pm</li><li>Walk-in hours:<br>Monday - Friday: 10 am - 3 pm</li></ul>,,1,,,,,,,,,,,,,1,,LGBTQ and HIV-affected communities,Manhattan,982333,198173,https://avp.org/
New York City Anti-Violence Project,Manhattan Family Justice Center,"80 Centre Street, 5th Floor","New York, NY 10038",212-602-2800,,1,1,,1,1,,,,,,1,,,,,1,,1,,,1,1,1,1,"Services for LGBTQ and HIV-affected survivors of intimate partner violence, elder abuse and/or sex trafficking",Wednesday: 9 am - 5 pm,,1,1,1,1,1,1,1,1,1,1,1,1,,1,,LGBTQ and HIV-affected communities,Manhattan,983763,199873,https://avp.org/
New York City Anti-Violence Project,Bronx Family Justice Center,"198 E 161st Street, 2nd Floor","Bronx, NY 10451",718-508-1220,,1,1,,1,1,,,,,,1,,,,,1,,,,,1,1,1,1,"Services for LGBTQ and HIV-affected survivors of intimate partner violence, elder abuse and/or sex trafficking",Monday: 9 am - 5 pm,,1,1,1,1,1,1,1,1,1,1,1,1,,1,,LGBTQ and HIV-affected communities,Bronx,1006186,240244,https://avp.org/
New York City Anti-Violence Project,Brooklyn Family Justice Center,"350 Jay Street, 16th Floor","Brooklyn, NY 11201",718-250-5111,,1,1,,1,1,,,,,,,,,,,1,1,1,,,1,1,1,1,"Services for LGBTQ and HIV-affected survivors of intimate partner violence, elder abuse and/or sex trafficking",Tuesday and Wednesday: 9 am - 5 pm,,,,,,,,,,,,,,,1,,,Brooklyn,987687,192183,https://avp.org/
New York City Anti-Violence Project,Queens Family Justice Center,126-02 82nd Avenue,"Kew Gardens, NY 11415",718-757-4545,,1,1,,1,1,,,,,,1,,,,,1,,,,,1,1,1,1,"Services for LGBTQ and HIV-affected survivors of intimate partner violence, elder abuse and/or sex trafficking",Monday: 9 am - 5 pm,,1,1,1,1,1,1,1,1,1,1,1,1,,1,,LGBTQ and HIV-affected communities,Queens,1032459,199212,https://avp.org/
New York City Anti-Violence Project,Staten Island Family Justice Center,126 Stuyvesant Place,"Staten Island, NY 10301",718-697-4300,,1,1,,1,1,,,,,,1,,,,,1,,,,,1,1,1,1,"Services for LGBTQ and HIV-affected survivors of intimate partner violence, elder abuse and/or sex trafficking",Friday: 9 am - 5 pm,,1,1,1,1,1,1,1,1,1,1,1,1,,1,,LGBTQ and HIV-affected communities,Staten Island,962818,173610,https://avp.org/
New York City Anti-Violence Project,Adolescent AIDS Program at Montefiore Medical Center,"3415 Bainbridge Ave, 4th Floor","Bronx, NY 10467",718-741-2426,,1,1,,1,1,,,,,,,,,,,1,1,1,1,1,,1,,,Serves LGBTQ survivors of violence who are under 25 years of age and impacted by HIV,Mondays: 11 am - 7 pm,,1,,,,,,,,,,,,,1,,LGBTQ and HIV-affected communities,Bronx,1017448,260210,https://avp.org/
